Name;CC;GDPpc;Gini;WHR;WHR22;annotation;annotation2
Finland;FIN;56123;27.3;7.84;7.821;1;1
Denmark;DNK;66903;28.2;7.62;7.636;;1
Iceland;ISL;62422;26.1;7.55;7.557;;1
Switzerland;CHE;82048;33.1;7.57;7.512;;1
Netherlands;NLD;65337;28.1;7.46;7.415;;1
Luxembourg;LUX;132535;35.4;7.32;7.404;1;1
Sweden;SWE;60420;30;7.36;7.384;;1
Norway;NOR;74256;27.6;7.39;7.365;1;1
Israel;ISR;47232;39;7.16;7.364;;1
New Zealand;NWZ;48202;;;7.2;;
Austria;AUT;63470;30.8;7.27;7.163;;
Australia;AUS;59083;34.4;7.18;7.162;;
Ireland;IRL;117358;31.4;7.09;7.041;;
Germany;DEU;62404;31.9;7.16;7.034;;
Canada;CAN;56617;33.3;7.1;7.025;;
United States;USA;74724;41.4;6.95;6.977;1;
United Kingdom;GBR;52252;35.1;7.06;6.943;;
Czechia;CZE;46811;25;6.97;6.92;;
Belgium;BEL;56030;27.2;6.83;6.805;;
France;FRA;54182;32.4;6.69;6.687;;
Slovenia;SVN;46281;24.6;6.46;6.63;;
Costa Rica;CRI;22726;48.2;7.07;6.582;1;
United Arab Emirates;ARE;77444;26;6.56;6.576;1;
Romania;ROU;36446;35.8;6.14;6.477;;
Spain;ESP;45796;34.7;6.49;6.476;;
Uruguay;URY;25226;39.7;6.43;6.474;;
Italy;ITA;48523;35.9;6.48;6.467;;
Kosovo;XKX;12546;29;;6.455;;
Malta;MLT;50850;28.7;6.6;6.447;;
Lithuania;LTU;45011;35.7;6.26;6.446;;
Estonia;EST;44854;30.3;6.19;6.341;;
Panama;PAN;32887;49.8;6.18;6.309;;
Brazil;BRA;16764;53.4;6.33;6.293;;
Guatemala;GTM;8895;48.3;6.44;6.262;;
Kazakhstan;KAZ;29537;27.8;6.15;6.234;;
Cyprus;CYP;44953;32.7;5.88;6.221;;
Latvia;LVA;37009;35.1;6.03;6.18;;
Serbia;SRB;22901;36.2;6.08;6.178;;
Chile;CHL;27629;44.4;6.17;6.172;;
Nicaragua;NIC;6133;46.2;5.97;6.165;;
Mexico;MEX;22053;45.4;6.32;6.128;;
Croatia;HRV;34094;29.7;5.88;6.125;;
Poland;POL;40341;30.2;6.17;6.123;;
El Salvador;SLV;9551;38.8;;6.12;;
Hungary;HUN;39806;29.6;5.99;6.086;;
Mauritius;MUS;6293;36.8;6.05;6.071;;
Uzbekistan;UZB;8452;35.3;6.18;6.063;;
Japan;JPN;47844;32.9;5.94;6.039;;
Honduras;HND;5767;48.2;5.92;6.022;;
Portugal;PRT;39544;33.5;5.93;6.016;;
Argentina;ARG;23862;42.9;5.93;5.967;1;
Greece;GRC;34344;32.9;5.72;5.948;;
South Korea;KOR;51244;31.4;5.85;5.935;1;
Philippines;PHL;8900;42.3;5.88;5.904;;
Thailand;THA;20388;34.9;5.99;5.891;;
Moldova;MDA;15687;25.7;;5.857;;
Jamaica;JAM;10815;45.5;6.31;5.85;1;
Belarus;BLR;22282;25.3;5.53;5.821;;
Colombia;COL;16803;51.3;6.01;5.781;;
Bosnia and Herzegovina;BIH;17364;33;5.81;5.768;;
Mongolia;MNG;12671;32.7;5.68;5.761;;
Dominican Republic;DOM;22507;41.9;5.55;5.737;;
Malaysia;MYS;31243;41.1;5.38;5.711;;
Bolivia;BOL;8901;41.6;5.72;5.6;;
China;CHN;20667;38.5;5.34;5.585;;
Paraguay;PRY;14440;45.7;5.65;5.578;;
Peru;PER;14265;41.5;5.84;5.559;;
Montenegro;MNE;23191;38.5;5.58;5.547;;
Ecuador;ECU;11529;45.7;5.76;5.533;;
Vietnam;VNM;11608;35.7;5.41;5.485;;
Turkmenistan;TKM;15873;40.8;5.07;5.474;;
Russia;RUS;32213;37.5;5.48;5.459;;
Armenia;ARM;15790;29.9;5.28;5.399;;
Tajikistan;TJK;3923;34;5.47;5.377;;
Nepal;NPL;4215;32.8;5.27;5.377;;
Bulgaria;BGR;27894;41.3;5.27;5.371;;
Indonesia;IDN;13982;38.2;5.35;5.24;;
North Macedonia;MKD;19346;33;;5.199;;
Albania;ALB;16667;33.2;5.12;5.199;;
South Africa;ZAF;14722;63;4.96;5.194;;
Azerbaijan;AZE;15899;26.6;5.17;5.173;;
Gambia;GMB;2399;35.9;5.05;5.164;;
Bangladesh;BGD;5733;32.4;5.03;5.155;;
Algeria;DZA;11829;27.6;4.89;5.122;;
Liberia;LBR;1623;35.3;4.63;5.122;;
Ukraine;UKR;15124;26.6;4.88;5.084;;
Morocco;MAR;8338;39.5;4.92;5.06;;
Cameroon;CMR;3860;46.6;5.14;5.048;;
Mozambique;MOZ;1338;54;4.79;5.048;;
Senegal;SEN;3699;40.3;5.13;5.046;;
Niger;NER;1355;34.3;5.07;5.003;1;
Georgia;GEO;18006;35.9;4.89;4.973;;
Gabon;GAB;17462;38;4.85;4.958;;
Iraq;IRQ;10415;29.5;4.85;4.941;;
Venezuela;VEN;5163;44.8;4.89;4.925;;
Guinea;GIN;2818;33.7;4.98;4.891;;
Iran;IRN;14520;42;4.72;4.888;;
Ghana;GHA;6190;43.5;5.09;4.872;;
Burkina Faso;BFA;2444;35.3;4.83;4.67;;
Benin;BEN;3720;47.8;5.05;4.623;;
Comoros;COM;3120;45.3;4.26;4.609;;
Uganda;UGA;2729;42.8;4.64;4.603;;
Nigeria;NGA;5377;35.1;4.76;4.552;;
Kenya;KEN;5407;40.8;4.61;4.543;;
Pakistan;PAK;5447;31.6;4.93;4.516;;
Tunisia;TUN;10720;32.8;4.6;4.516;;
Mali;MLI;2522;33;4.72;4.479;;
Namibia;NAM;9616;59.1;4.57;4.459;;
Eswatini;SWZ;9409;54.6;;4.396;;
Myanmar;MMR;4426;30.7;4.43;4.394;;
Sri Lanka;LKA;14910;39.3;4.33;4.362;;
Madagascar;MDG;1630;42.6;4.21;4.339;;
Egypt;EGY;14226;31.5;4.28;4.288;;
Chad;TCD;1637;43.3;4.36;4.251;;
Ethiopia;ETH;3024;35;4.28;4.241;;
Yemen;YEM;1827;36.7;3.66;4.197;;
Mauritania;MRT;6293;32.6;4.23;4.153;;
Jordan;JOR;10821;33.7;4.4;4.152;;
Togo;TGO;2353;43.1;4.11;4.112;;
India;IND;7314;35.7;3.82;3.777;;
Zambia;ZMB;3410;57.1;4.07;3.76;;
Malawi;MWI;1503;44.7;3.6;3.75;1;
Tanzania;TZA;3062;40.5;3.62;3.702;;
Sierra Leone;SLE;1809;35.7;3.85;3.574;;
Botswana;BWA;18082;53.3;3.47;3.471;1;
Rwanda;RWA;2410;43.7;3.42;3.268;;
Zimbabwe;ZWE;2408;50.3;3.15;2.995;1;
Lebanon;LBN;14676;31.8;4.58;2.955;;
Afghanistan;AFG;1981;;2.52;2.404;;
Maldives;MDV;27271;31.3;5.2;;;
Burundi;BDI;;38.6;3.78;;;
Haiti;HTI;;41.1;3.62;;;
Lesotho;LSO;;44.9;3.51;;;
Angola;AGO;;51.3;;;;
Belize;BLZ;;53.3;;;;
Bhutan;BTN;;37.4;;;;
Cabo Verde;CPV;;42.4;;;;
Central African Republic;CAF;;56.2;3.48;;;
Congo. Dem Rep;COD;;42.1;5.34;;;
Congo. Rep;COG;;48.9;5.19;;;
Cote d'Ivoire;CIV;;41.5;5.31;;;
Djibouti;DJI;;41.6;;;;
Fiji;FJI;;36.7;;;;
Guinea-Bissau;GNB;;50.7;;;;
Guyana;GUY;;45.1;;;;
Kiribati;KIR;;37;;;;
Kyrgyz Republic;KGZ;;29.7;5.74;;;
Lao PDR;LAO;;38.8;5.03;;;
Micronesia. Fed Sts;FSM;;40.1;;;;
Nauru;NRU;;34.8;;;;
Papua New Guinea;PNG;;41.9;;;;
Samoa;WSM;;38.7;;;;
Sao Tome and Principe;STP;;56.3;;;;
Seychelles;SYC;;32.1;;;;
Slovak Republic;SVK;;25;6.33;;;
Solomon Islands;SLB;;37.1;;;;
South Sudan;SSD;;44.1;;;;
St Lucia;LCA;;51.2;;;;
Sudan;SDN;;34.2;;;;
Suriname;SUR;;57.9;;;;
Timor-Leste;TLS;;28.7;;;;
Tonga;TON;;37.6;;;;
Trinidad and Tobago;TTO;;40.3;6.19;;;
Turquia;TUR;;41.9;4.95;;;
Tuvalu;TUV;;39.1;;;;
Vanuatu;VUT;;37.6;;;;
West Bank and Gaza;PSE;;33.7;;;;
